Time	Node	Type	Packets	
1	Rtr1	CacheHits	1757
1	Rtr1	CacheMisses	2678
1	Rtr2	CacheHits	396
1	Rtr2	CacheMisses	2855
1	Rtr3	CacheHits	886
1	Rtr3	CacheMisses	2792
1	Rtr4	CacheHits	1287
1	Rtr4	CacheMisses	6060
1	Rtr5	CacheHits	1019
1	Rtr5	CacheMisses	5056
1	Rtr6	CacheHits	2326
1	Rtr6	CacheMisses	5375
1	Rtr7	CacheHits	705
1	Rtr7	CacheMisses	3121
1	Rtr8	CacheHits	912
1	Rtr8	CacheMisses	2909
1	Rtr9	CacheHits	1938
1	Rtr9	CacheMisses	3092
1	Rtr10	CacheHits	0
1	Rtr10	CacheMisses	3
1	Rtr11	CacheHits	0
1	Rtr11	CacheMisses	3
1	BTR1	CacheHits	0
1	BTR1	CacheMisses	1880
1	BTR2	CacheHits	0
1	BTR2	CacheMisses	1941
1	BTR3	CacheHits	0
1	BTR3	CacheMisses	2889
1	BTR32	CacheHits	0
1	BTR32	CacheMisses	2754
1	BTR4	CacheHits	0
1	BTR4	CacheMisses	1950
1	BTR42	CacheHits	0
1	BTR42	CacheMisses	2037
1	BTP1	CacheHits	0
1	BTP1	CacheMisses	1916
1	BTP2	CacheHits	0
1	BTP2	CacheMisses	1902
1	BTP3	CacheHits	0
1	BTP3	CacheMisses	3273
1	BTP4	CacheHits	0
1	BTP4	CacheMisses	1931
1	BTP32	CacheHits	0
1	BTP32	CacheMisses	2972
1	BTP42	CacheHits	0
1	BTP42	CacheMisses	1747
1	Cons1	CacheHits	0
1	Cons1	CacheMisses	1840
1	Cons2	CacheHits	0
1	Cons2	CacheMisses	2299
1	Prod11	CacheHits	0
1	Prod11	CacheMisses	1276
1	Prod12	CacheHits	0
1	Prod12	CacheMisses	220
1	Prod21	CacheHits	0
1	Prod21	CacheMisses	197
1	Prod22	CacheHits	0
1	Prod22	CacheMisses	1753
2	Rtr1	CacheHits	2885
2	Rtr1	CacheMisses	3636
2	Rtr2	CacheHits	1526
