Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.5	Rtr1	1	internal://	InInterests	0	0	0	0
0.5	Rtr1	1	internal://	OutInterests	0	0	0	0
0.5	Rtr1	1	internal://	InData	0	0	0	0
0.5	Rtr1	1	internal://	OutData	0	0	0	0
0.5	Rtr1	1	internal://	InNacks	0	0	0	0
0.5	Rtr1	1	internal://	OutNacks	0	0	0	0
0.5	Rtr1	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	Rtr1	1	internal://	InTimedOutInterests	0	0	0	0
0.5	Rtr1	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	Rtr1	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	Rtr1	256	netdev://[00:00:00:00:00:01]	InInterests	0	0	0	0
0.5	Rtr1	256	netdev://[00:00:00:00:00:01]	OutInterests	3350.4	83.7797	2094	52.3623
0.5	Rtr1	256	netdev://[00:00:00:00:00:01]	InData	1284.8	1351.89	803	844.932
0.5	Rtr1	256	netdev://[00:00:00:00:00:01]	OutData	0	0	0	0
0.5	Rtr1	256	netdev://[00:00:00:00:00:01]	InNacks	0	0	0	0
0.5	Rtr1	256	netdev://[00:00:00:00:00:01]	OutNacks	0	0	0	0
0.5	Rtr1	256	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	0	0	0	0
0.5	Rtr1	256	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0	0	0	0
0.5	Rtr1	256	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	1187.2	0	742	0
0.5	Rtr1	256	netdev://[00:00:00:00:00:01]	OutTimedOutInterests	0	0	0	0
0.5	Rtr1	257	netdev://[00:00:00:00:00:1a]	InInterests	2115.2	54.7547	1322	34.2217
0.5	Rtr1	257	netdev://[00:00:00:00:00:1a]	OutInterests	0	0	0	0
0.5	Rtr1	257	netdev://[00:00:00:00:00:1a]	InData	0	0	0	0
0.5	Rtr1	257	netdev://[00:00:00:00:00:1a]	OutData	1056	1112.04	660	695.026
0.5	Rtr1	257	netdev://[00:00:00:00:00:1a]	InNacks	0	0	0	0
0.5	Rtr1	257	netdev://[00:00:00:00:00:1a]	OutNacks	0	0	0	0
0.5	Rtr1	257	netdev://[00:00:00:00:00:1a]	InSatisfiedInterests	520	0	325	0
0.5	Rtr1	257	netdev://[00:00:00:00:00:1a]	InTimedOutInterests	0	0	0	0
0.5	Rtr1	257	netdev://[00:00:00:00:00:1a]	OutSatisfiedInterests	0	0	0	0
0.5	Rtr1	257	netdev://[00:00:00:00:00:1a]	OutTimedOutInterests	0	0	0	0
0.5	Rtr1	258	netdev://[00:00:00:00:00:26]	InInterests	2283.2	54.7406	1427	34.2129
0.5	Rtr1	258	netdev://[00:00:00:00:00:26]	OutInterests	0	0	0	0
0.5	Rtr1	258	netdev://[00:00:00:00:00:26]	InData	0	0	0	0
0.5	Rtr1	258	netdev://[00:00:00:00:00:26]	OutData	1179.2	1239.56	737	774.724
0.5	Rtr1	258	netdev://[00:00:00:00:00:26]	InNacks	0	0	0	0
0.5	Rtr1	258	netdev://[00:00:00:00:00:26]	OutNacks	0	0	0	0
0.5	Rtr1	258	netdev://[00:00:00:00:00:26]	InSatisfiedInterests	667.2	0	417	0
0.5	Rtr1	258	netdev://[00:00:00:00:00:26]	InTimedOutInterests	0	0	0	0
0.5	Rtr1	258	netdev://[00:00:00:00:00:26]	OutSatisfiedInterests	0	0	0	0
0.5	Rtr1	258	netdev://[00:00:00:00:00:26]	OutTimedOutInterests	0	0	0	0
0.5	Rtr1	259	internal://	InInterests	0	0	0	0
0.5	Rtr1	259	internal://	OutInterests	0	0	0	0
0.5	Rtr1	259	internal://	InData	0	0	0	0
0.5	Rtr1	259	internal://	OutData	0	0	0	0
0.5	Rtr1	259	internal://	InNacks	0	0	0	0
0.5	Rtr1	259	internal://	OutNacks	0	0	0	0
0.5	Rtr1	259	internal://	InSatisfiedInterests	3.2	0	2	0
0.5	Rtr1	259	internal://	InTimedOutInterests	0	0	0	0
0.5	Rtr1	259	internal://	OutSatisfiedInterests	0	0	0	0
0.5	Rtr1	259	internal://	OutTimedOutInterests	0	0	0	0
0.5	Rtr1	-1	all	SatisfiedInterests	2336	0	1460	0
0.5	Rtr1	-1	all	TimedOutInterests	0	0	0	0
0.5	Rtr2	1	internal://	InInterests	0	0	0	0
0.5	Rtr2	1	internal://	OutInterests	0	0	0	0
0.5	Rtr2	1	internal://	InData	0	0	0	0
0.5	Rtr2	1	internal://	OutData	0	0	0	0
0.5	Rtr2	1	internal://	InNacks	0	0	0	0
0.5	Rtr2	1	internal://	OutNacks	0	0	0	0
0.5	Rtr2	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	Rtr2	1	internal://	InTimedOutInterests	0	0	0	0
0.5	Rtr2	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	Rtr2	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	Rtr2	256	netdev://[00:00:00:00:00:02]	InInterests	3297.6	82.4688	2061	51.543
0.5	Rtr2	256	netdev://[00:00:00:00:00:02]	OutInterests	0	0	0	0
0.5	Rtr2	256	netdev://[00:00:00:00:00:02]	InData	0	0	0	0
0.5	Rtr2	256	netdev://[00:00:00:00:00:02]	OutData	1564.8	1646.53	978	1029.08
0.5	Rtr2	256	netdev://[00:00:00:00:00:02]	InNacks	0	0	0	0
0.5	Rtr2	256	netdev://[00:00:00:00:00:02]	OutNacks	0	0	0	0
0.5	Rtr2	256	netdev://[00:00:00:00:00:02]	InSatisfiedInterests	1436.8	0	898	0
0.5	Rtr2	256	netdev://[00:00:00:00:00:02]	InTimedOutInterests	0	0	0	0
0.5	Rtr2	256	netdev://[00:00:00:00:00:02]	OutSatisfiedInterests	0	0	0	0
0.5	Rtr2	256	netdev://[00:00:00:00:00:02]	OutTimedOutInterests	0	0	0	0
0.5	Rtr2	257	netdev://[00:00:00:00:00:03]	InInterests	123.2	3.1625	77	1.97656
0.5	Rtr2	257	netdev://[00:00:00:00:00:03]	OutInterests	1284.8	33.5406	803	20.9629
0.5	Rtr2	257	netdev://[00:00:00:00:00:03]	InData	587.2	618.533	367	386.583
0.5	Rtr2	257	netdev://[00:00:00:00:00:03]	OutData	118.4	124.677	74	77.9229
0.5	Rtr2	257	netdev://[00:00:00:00:00:03]	InNacks	0	0	0	0
0.5	Rtr2	257	netdev://[00:00:00:00:00:03]	OutNacks	0	0	0	0
0.5	Rtr2	257	netdev://[00:00:00:00:00:03]	InSatisfiedInterests	118.4	0	74	0
0.5	Rtr2	257	netdev://[00:00:00:00:00:03]	InTimedOutInterests	0	0	0	0
0.5	Rtr2	257	netdev://[00:00:00:00:00:03]	OutSatisfiedInterests	683.2	0	427	0
0.5	Rtr2	257	netdev://[00:00:00:00:00:03]	OutTimedOutInterests	0	0	0	0
0.5	Rtr2	258	netdev://[00:00:00:00:00:0b]	InInterests	0	0	0	0
0.5	Rtr2	258	netdev://[00:00:00:00:00:0b]	OutInterests	214.4	5.50938	134	3.44336
0.5	Rtr2	258	netdev://[00:00:00:00:00:0b]	InData	134.4	141.517	84	88.4482
0.5	Rtr2	258	netdev://[00:00:00:00:00:0b]	OutData	0	0	0	0
0.5	Rtr2	258	netdev://[00:00:00:00:00:0b]	InNacks	0	0	0	0
0.5	Rtr2	258	netdev://[00:00:00:00:00:0b]	OutNacks	0	0	0	0
